title,year,subgenres
Signs,2002.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
The 5th Wave,2016.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'coming-of-age-drama', 'dystopian-sci-fi', 'survival-adventure']"
Transformers: Rise of the Beasts,2023.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'car-action']"
Lilo & Stitch,2002.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'buddy-comedy', 'epic-sci-fi', 'space-sci-fi']"
The Faculty,1998.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror', 'teen-horror']"
Krull,1983.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dark-fantasy', 'sword-and-sorcery-fantasy']"
Independence Day: Resurgence,2016.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'epic-adventure']"
Lifeforce,1985.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
District 9,2009.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'epic-sci-fi', 'political-drama']"
The Predator,2018.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'urban-adventure']"
Mars Attacks!,1996.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dark-comedy', 'parody-comedy', 'satire-comedy', 'space-sci-fi']"
The Day the Earth Stood Still,2008.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
No One Will Save You,2023.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'psychological-thriller']"
Paul,2011.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'buddy-comedy', 'road-trip-adventure']"
Transformers: Revenge of the Fallen,2009.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'car-action', 'desert-adventure']"
A Quiet Place Part II,2020.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror', 'supernatural-horror']"
Alien³,1992.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror', 'space-sci-fi']"
Coneheads,1993.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'quirky-comedy']"
Battleship,2012.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
Men in Black: International,2019.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'buddy-cop-comedy']"
Slither,2006.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'body-horror', 'zombie-horror']"
Transformers: Dark of the Moon,2011.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'car-action', 'space-sci-fi']"
The Iron Giant,1999.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'artificial-intelligence-sci-fi', 'giant-monster-sci-fi', 'high-concept-comedy', 'space-sci-fi']"
Ender's Game,2013.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'epic-sci-fi', 'space-sci-fi']"
We Can Be Heroes,2020.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'space-sci-fi', 'superhero-action']"
The World's End,2013.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dark-comedy', 'satire-comedy']"
Bumblebee,2018.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'car-action', 'teen-adventure', 'urban-adventure']"
Fire in the Sky,1993.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
Predator 2,1990.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dystopian-sci-fi', 'monster-horror']"
Invasion of the Body Snatchers,1978.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'body-horror']"
Howard the Duck,1986.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dark-comedy', 'superhero-action']"
Cowboys & Aliens,2011.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
The Blob,1988.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'body-horror', 'monster-horror']"
Chicken Little,2005.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'cg-animation']"
The Invasion,2007.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
The Day the Earth Stood Still,1951.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'space-sci-fi']"
Evolution,2001.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
The Watch,2012.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
Voltron,,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
The Darkest Hour,2011.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'survival-adventure']"
Monsters vs. Aliens,2009.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'cg-animation', 'giant-monster-sci-fi', 'urban-adventure']"
Monsters,2010.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'giant-monster-sci-fi']"
Battle Los Angeles,2011.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'urban-adventure']"
The Arrival,1996.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi']"
The Host,2013.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'teen-adventure']"
Penguins of Madagascar,2014.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'cg-animation']"
